"","series2","Freq","date"
"1",14,1,2012-09-17 14:00:00
"2",15,5,2012-09-17 15:00:00
"3",16,2,2012-09-17 16:00:00
"4",17,13,2012-09-17 17:00:00
"5",18,26,2012-09-17 18:00:00
"6",19,30,2012-09-17 19:00:00
"7",20,18,2012-09-17 20:00:00
"8",21,42,2012-09-17 21:00:00
"9",22,19,2012-09-17 22:00:00
"10",23,18,2012-09-17 23:00:00
"11",24,11,2012-09-18 00:00:00
"12",25,2,2012-09-18 01:00:00
"13",26,1,2012-09-18 02:00:00
"14",28,2,2012-09-18 04:00:00
"15",29,7,2012-09-18 05:00:00
"16",30,1,2012-09-18 06:00:00
"17",31,13,2012-09-18 07:00:00
"18",32,6,2012-09-18 08:00:00
"19",33,5,2012-09-18 09:00:00
"20",34,9,2012-09-18 10:00:00
"21",35,8,2012-09-18 11:00:00
"22",36,10,2012-09-18 12:00:00
"23",37,15,2012-09-18 13:00:00
"24",38,22,2012-09-18 14:00:00
"25",39,15,2012-09-18 15:00:00
"26",40,3,2012-09-18 16:00:00
"27",41,13,2012-09-18 17:00:00
"28",42,6,2012-09-18 18:00:00
"29",43,14,2012-09-18 19:00:00
"30",44,13,2012-09-18 20:00:00
"31",45,5,2012-09-18 21:00:00
"32",46,8,2012-09-18 22:00:00
"33",47,4,2012-09-18 23:00:00
"34",48,5,2012-09-19 00:00:00
"35",49,3,2012-09-19 01:00:00
"36",50,1,2012-09-19 02:00:00
"37",51,2,2012-09-19 03:00:00
"38",52,1,2012-09-19 04:00:00
"39",53,1,2012-09-19 05:00:00
"40",55,3,2012-09-19 07:00:00
"41",57,3,2012-09-19 09:00:00
"42",58,1,2012-09-19 10:00:00
"43",59,7,2012-09-19 11:00:00
"44",60,9,2012-09-19 12:00:00
"45",61,7,2012-09-19 13:00:00
"46",62,9,2012-09-19 14:00:00
"47",63,6,2012-09-19 15:00:00
"48",64,5,2012-09-19 16:00:00
"49",65,5,2012-09-19 17:00:00
"50",66,5,2012-09-19 18:00:00
"51",67,8,2012-09-19 19:00:00
"52",68,5,2012-09-19 20:00:00
"53",69,4,2012-09-19 21:00:00
"54",70,5,2012-09-19 22:00:00
"55",71,4,2012-09-19 23:00:00
"56",72,3,2012-09-20 00:00:00
"57",73,5,2012-09-20 01:00:00
"58",74,1,2012-09-20 02:00:00
"59",76,2,2012-09-20 04:00:00
"60",77,2,2012-09-20 05:00:00
"61",78,2,2012-09-20 06:00:00
"62",79,2,2012-09-20 07:00:00
"63",80,1,2012-09-20 08:00:00
"64",81,1,2012-09-20 09:00:00
"65",82,9,2012-09-20 10:00:00
"66",83,4,2012-09-20 11:00:00
"67",84,2,2012-09-20 12:00:00
"68",85,3,2012-09-20 13:00:00
"69",86,2,2012-09-20 14:00:00
"70",87,5,2012-09-20 15:00:00
"71",88,2,2012-09-20 16:00:00
"72",89,1,2012-09-20 17:00:00
"73",90,2,2012-09-20 18:00:00
"74",91,1,2012-09-20 19:00:00
"75",92,2,2012-09-20 20:00:00
"76",93,1,2012-09-20 21:00:00
"77",94,1,2012-09-20 22:00:00
"78",97,2,2012-09-21 01:00:00
"79",102,1,2012-09-21 06:00:00
"80",104,1,2012-09-21 08:00:00
"81",105,1,2012-09-21 09:00:00
"82",107,2,2012-09-21 11:00:00
"83",108,3,2012-09-21 12:00:00
"84",111,3,2012-09-21 15:00:00
"85",112,1,2012-09-21 16:00:00
"86",113,4,2012-09-21 17:00:00
"87",114,7,2012-09-21 18:00:00
"88",115,4,2012-09-21 19:00:00
"89",116,3,2012-09-21 20:00:00
"90",121,3,2012-09-22 01:00:00
"91",124,1,2012-09-22 04:00:00
"92",125,1,2012-09-22 05:00:00
"93",128,2,2012-09-22 08:00:00
"94",129,1,2012-09-22 09:00:00
"95",130,4,2012-09-22 10:00:00
"96",132,1,2012-09-22 12:00:00
"97",133,3,2012-09-22 13:00:00
"98",134,1,2012-09-22 14:00:00
"99",136,2,2012-09-22 16:00:00
"100",137,2,2012-09-22 17:00:00
"101",139,1,2012-09-22 19:00:00
"102",140,1,2012-09-22 20:00:00
"103",141,1,2012-09-22 21:00:00
"104",142,1,2012-09-22 22:00:00
"105",143,1,2012-09-22 23:00:00
"106",146,1,2012-09-23 02:00:00
"107",147,1,2012-09-23 03:00:00
"108",150,1,2012-09-23 06:00:00
"109",152,3,2012-09-23 08:00:00
"110",156,2,2012-09-23 12:00:00
"111",158,1,2012-09-23 14:00:00
"112",159,6,2012-09-23 15:00:00
"113",160,1,2012-09-23 16:00:00
"114",161,1,2012-09-23 17:00:00
"115",163,3,2012-09-23 19:00:00
"116",165,1,2012-09-23 21:00:00
"117",167,1,2012-09-23 23:00:00
