"","series2","Freq","date"
"1",15,1,2012-09-17 15:00:00
"2",17,2,2012-09-17 17:00:00
"3",18,2,2012-09-17 18:00:00
"4",19,3,2012-09-17 19:00:00
"5",20,6,2012-09-17 20:00:00
"6",21,10,2012-09-17 21:00:00
"7",22,6,2012-09-17 22:00:00
"8",23,5,2012-09-17 23:00:00
"9",24,4,2012-09-18 00:00:00
"10",28,4,2012-09-18 04:00:00
"11",29,1,2012-09-18 05:00:00
"12",30,1,2012-09-18 06:00:00
"13",32,5,2012-09-18 08:00:00
"14",33,4,2012-09-18 09:00:00
"15",35,7,2012-09-18 11:00:00
"16",36,1,2012-09-18 12:00:00
"17",37,2,2012-09-18 13:00:00
"18",38,3,2012-09-18 14:00:00
"19",39,1,2012-09-18 15:00:00
"20",40,5,2012-09-18 16:00:00
"21",44,2,2012-09-18 20:00:00
"22",45,1,2012-09-18 21:00:00
"23",46,1,2012-09-18 22:00:00
"24",47,1,2012-09-18 23:00:00
"25",48,3,2012-09-19 00:00:00
"26",54,1,2012-09-19 06:00:00
"27",55,1,2012-09-19 07:00:00
"28",56,1,2012-09-19 08:00:00
"29",57,3,2012-09-19 09:00:00
"30",62,3,2012-09-19 14:00:00
"31",63,2,2012-09-19 15:00:00
"32",69,1,2012-09-19 21:00:00
"33",70,1,2012-09-19 22:00:00
"34",71,1,2012-09-19 23:00:00
"35",73,1,2012-09-20 01:00:00
"36",77,2,2012-09-20 05:00:00
"37",81,1,2012-09-20 09:00:00
"38",82,6,2012-09-20 10:00:00
"39",83,1,2012-09-20 11:00:00
"40",84,1,2012-09-20 12:00:00
"41",85,3,2012-09-20 13:00:00
"42",86,2,2012-09-20 14:00:00
"43",87,2,2012-09-20 15:00:00
"44",88,1,2012-09-20 16:00:00
"45",90,1,2012-09-20 18:00:00
"46",93,3,2012-09-20 21:00:00
"47",106,2,2012-09-21 10:00:00
"48",107,1,2012-09-21 11:00:00
"49",108,1,2012-09-21 12:00:00
"50",114,2,2012-09-21 18:00:00
"51",115,1,2012-09-21 19:00:00
"52",116,1,2012-09-21 20:00:00
"53",129,1,2012-09-22 09:00:00
"54",132,3,2012-09-22 12:00:00
"55",134,1,2012-09-22 14:00:00
"56",136,1,2012-09-22 16:00:00
"57",137,1,2012-09-22 17:00:00
"58",140,1,2012-09-22 20:00:00
"59",142,1,2012-09-22 22:00:00
"60",156,1,2012-09-23 12:00:00
"61",162,1,2012-09-23 18:00:00
