"","series2","Freq","date"
"1",18,1,2012-09-17 18:00:00
"2",19,3,2012-09-17 19:00:00
"3",20,3,2012-09-17 20:00:00
"4",21,2,2012-09-17 21:00:00
"5",22,8,2012-09-17 22:00:00
"6",23,8,2012-09-17 23:00:00
"7",24,1,2012-09-18 00:00:00
"8",29,1,2012-09-18 05:00:00
"9",30,2,2012-09-18 06:00:00
"10",31,3,2012-09-18 07:00:00
"11",32,3,2012-09-18 08:00:00
"12",33,2,2012-09-18 09:00:00
"13",34,3,2012-09-18 10:00:00
"14",35,3,2012-09-18 11:00:00
"15",36,2,2012-09-18 12:00:00
"16",37,2,2012-09-18 13:00:00
"17",38,2,2012-09-18 14:00:00
"18",39,3,2012-09-18 15:00:00
"19",40,1,2012-09-18 16:00:00
"20",41,2,2012-09-18 17:00:00
"21",42,2,2012-09-18 18:00:00
"22",43,2,2012-09-18 19:00:00
"23",44,1,2012-09-18 20:00:00
"24",45,1,2012-09-18 21:00:00
"25",46,2,2012-09-18 22:00:00
"26",47,1,2012-09-18 23:00:00
"27",48,1,2012-09-19 00:00:00
"28",58,1,2012-09-19 10:00:00
"29",62,1,2012-09-19 14:00:00
"30",66,1,2012-09-19 18:00:00
"31",69,3,2012-09-19 21:00:00
"32",71,1,2012-09-19 23:00:00
"33",73,4,2012-09-20 01:00:00
"34",76,1,2012-09-20 04:00:00
"35",77,1,2012-09-20 05:00:00
"36",84,1,2012-09-20 12:00:00
"37",86,1,2012-09-20 14:00:00
"38",87,1,2012-09-20 15:00:00
"39",91,1,2012-09-20 19:00:00
"40",97,2,2012-09-21 01:00:00
"41",102,1,2012-09-21 06:00:00
"42",108,1,2012-09-21 12:00:00
"43",111,1,2012-09-21 15:00:00
"44",115,1,2012-09-21 19:00:00
"45",116,5,2012-09-21 20:00:00
"46",120,1,2012-09-22 00:00:00
"47",121,1,2012-09-22 01:00:00
"48",134,2,2012-09-22 14:00:00
"49",162,2,2012-09-23 18:00:00
