"","series2","Freq","date"
"1",1,5,2012-09-17 01:00:00
"2",2,1,2012-09-17 02:00:00
"3",3,1,2012-09-17 03:00:00
"4",8,1,2012-09-17 08:00:00
"5",9,1,2012-09-17 09:00:00
"6",11,1,2012-09-17 11:00:00
"7",12,2,2012-09-17 12:00:00
"8",13,5,2012-09-17 13:00:00
"9",14,2,2012-09-17 14:00:00
"10",15,3,2012-09-17 15:00:00
"11",16,2,2012-09-17 16:00:00
"12",17,3,2012-09-17 17:00:00
"13",18,7,2012-09-17 18:00:00
"14",19,7,2012-09-17 19:00:00
"15",20,3,2012-09-17 20:00:00
"16",21,44,2012-09-17 21:00:00
"17",22,31,2012-09-17 22:00:00
"18",23,19,2012-09-17 23:00:00
"19",24,21,2012-09-18 00:00:00
"20",25,3,2012-09-18 01:00:00
"21",26,1,2012-09-18 02:00:00
"22",29,3,2012-09-18 05:00:00
"23",30,6,2012-09-18 06:00:00
"24",31,6,2012-09-18 07:00:00
"25",32,12,2012-09-18 08:00:00
"26",33,9,2012-09-18 09:00:00
"27",34,6,2012-09-18 10:00:00
"28",35,14,2012-09-18 11:00:00
"29",36,9,2012-09-18 12:00:00
"30",37,9,2012-09-18 13:00:00
"31",38,18,2012-09-18 14:00:00
"32",39,18,2012-09-18 15:00:00
"33",40,11,2012-09-18 16:00:00
"34",41,10,2012-09-18 17:00:00
"35",42,16,2012-09-18 18:00:00
"36",43,7,2012-09-18 19:00:00
"37",44,9,2012-09-18 20:00:00
"38",45,6,2012-09-18 21:00:00
"39",46,8,2012-09-18 22:00:00
"40",47,13,2012-09-18 23:00:00
"41",48,3,2012-09-19 00:00:00
"42",49,1,2012-09-19 01:00:00
"43",52,1,2012-09-19 04:00:00
"44",55,3,2012-09-19 07:00:00
"45",56,5,2012-09-19 08:00:00
"46",57,5,2012-09-19 09:00:00
"47",58,4,2012-09-19 10:00:00
"48",59,11,2012-09-19 11:00:00
"49",60,10,2012-09-19 12:00:00
"50",61,3,2012-09-19 13:00:00
"51",62,7,2012-09-19 14:00:00
"52",63,7,2012-09-19 15:00:00
"53",64,4,2012-09-19 16:00:00
"54",66,3,2012-09-19 18:00:00
"55",67,4,2012-09-19 19:00:00
"56",68,2,2012-09-19 20:00:00
"57",69,4,2012-09-19 21:00:00
"58",70,3,2012-09-19 22:00:00
"59",71,3,2012-09-19 23:00:00
"60",72,2,2012-09-20 00:00:00
"61",73,4,2012-09-20 01:00:00
"62",74,1,2012-09-20 02:00:00
"63",77,6,2012-09-20 05:00:00
"64",79,2,2012-09-20 07:00:00
"65",80,1,2012-09-20 08:00:00
"66",82,4,2012-09-20 10:00:00
"67",84,5,2012-09-20 12:00:00
"68",85,3,2012-09-20 13:00:00
"69",86,2,2012-09-20 14:00:00
"70",87,2,2012-09-20 15:00:00
"71",88,1,2012-09-20 16:00:00
"72",89,2,2012-09-20 17:00:00
"73",91,2,2012-09-20 19:00:00
"74",92,2,2012-09-20 20:00:00
"75",93,3,2012-09-20 21:00:00
"76",94,1,2012-09-20 22:00:00
"77",95,1,2012-09-20 23:00:00
"78",101,2,2012-09-21 05:00:00
"79",103,2,2012-09-21 07:00:00
"80",106,1,2012-09-21 10:00:00
"81",107,2,2012-09-21 11:00:00
"82",108,3,2012-09-21 12:00:00
"83",109,2,2012-09-21 13:00:00
"84",110,1,2012-09-21 14:00:00
"85",112,3,2012-09-21 16:00:00
"86",113,3,2012-09-21 17:00:00
"87",114,1,2012-09-21 18:00:00
"88",115,1,2012-09-21 19:00:00
"89",116,1,2012-09-21 20:00:00
"90",117,2,2012-09-21 21:00:00
"91",120,3,2012-09-22 00:00:00
"92",128,5,2012-09-22 08:00:00
"93",129,3,2012-09-22 09:00:00
"94",130,1,2012-09-22 10:00:00
"95",132,1,2012-09-22 12:00:00
"96",133,3,2012-09-22 13:00:00
"97",134,1,2012-09-22 14:00:00
"98",136,3,2012-09-22 16:00:00
"99",138,3,2012-09-22 18:00:00
"100",140,2,2012-09-22 20:00:00
"101",142,1,2012-09-22 22:00:00
"102",143,1,2012-09-22 23:00:00
"103",144,1,2012-09-23 00:00:00
"104",145,1,2012-09-23 01:00:00
"105",155,5,2012-09-23 11:00:00
"106",156,2,2012-09-23 12:00:00
"107",158,1,2012-09-23 14:00:00
"108",160,2,2012-09-23 16:00:00
"109",162,6,2012-09-23 18:00:00
"110",164,3,2012-09-23 20:00:00
"111",165,3,2012-09-23 21:00:00
"112",167,1,2012-09-23 23:00:00
