"","series2","Freq","date"
"1",46,3,2012-09-11 22:00:00
"2",47,2,2012-09-11 23:00:00
"3",54,2,2012-09-12 06:00:00
"4",55,5,2012-09-12 07:00:00
"5",56,2,2012-09-12 08:00:00
"6",57,6,2012-09-12 09:00:00
"7",58,9,2012-09-12 10:00:00
"8",59,11,2012-09-12 11:00:00
"9",60,11,2012-09-12 12:00:00
"10",61,28,2012-09-12 13:00:00
"11",62,7,2012-09-12 14:00:00
"12",63,9,2012-09-12 15:00:00
"13",64,9,2012-09-12 16:00:00
"14",65,6,2012-09-12 17:00:00
"15",66,9,2012-09-12 18:00:00
"16",67,7,2012-09-12 19:00:00
"17",68,10,2012-09-12 20:00:00
"18",69,5,2012-09-12 21:00:00
"19",70,1,2012-09-12 22:00:00
"20",71,6,2012-09-12 23:00:00
"21",74,2,2012-09-13 02:00:00
"22",77,1,2012-09-13 05:00:00
"23",78,2,2012-09-13 06:00:00
"24",82,3,2012-09-13 10:00:00
"25",83,6,2012-09-13 11:00:00
"26",84,2,2012-09-13 12:00:00
"27",85,5,2012-09-13 13:00:00
"28",86,1,2012-09-13 14:00:00
"29",87,4,2012-09-13 15:00:00
"30",88,5,2012-09-13 16:00:00
"31",91,1,2012-09-13 19:00:00
"32",92,1,2012-09-13 20:00:00
"33",93,4,2012-09-13 21:00:00
"34",104,1,2012-09-14 08:00:00
"35",105,1,2012-09-14 09:00:00
"36",108,1,2012-09-14 12:00:00
"37",110,2,2012-09-14 14:00:00
"38",111,1,2012-09-14 15:00:00
"39",112,1,2012-09-14 16:00:00
"40",115,6,2012-09-14 19:00:00
"41",116,2,2012-09-14 20:00:00
"42",117,3,2012-09-14 21:00:00
"43",118,1,2012-09-14 22:00:00
"44",119,2,2012-09-14 23:00:00
"45",123,1,2012-09-15 03:00:00
"46",124,1,2012-09-15 04:00:00
"47",125,1,2012-09-15 05:00:00
"48",126,1,2012-09-15 06:00:00
"49",131,1,2012-09-15 11:00:00
"50",135,2,2012-09-15 15:00:00
"51",136,2,2012-09-15 16:00:00
"52",138,1,2012-09-15 18:00:00
"53",139,2,2012-09-15 19:00:00
"54",141,1,2012-09-15 21:00:00
"55",150,1,2012-09-16 06:00:00
"56",153,2,2012-09-16 09:00:00
"57",154,3,2012-09-16 10:00:00
"58",155,1,2012-09-16 11:00:00
"59",156,5,2012-09-16 12:00:00
"60",159,1,2012-09-16 15:00:00
"61",163,1,2012-09-16 19:00:00
"62",164,1,2012-09-16 20:00:00
"63",165,1,2012-09-16 21:00:00
"64",166,1,2012-09-16 22:00:00
