"","series2","Freq","date"
"1",42,2,2012-09-11 18:00:00
"2",45,1,2012-09-11 21:00:00
"3",46,1,2012-09-11 22:00:00
"4",54,7,2012-09-12 06:00:00
"5",55,2,2012-09-12 07:00:00
"6",57,3,2012-09-12 09:00:00
"7",58,2,2012-09-12 10:00:00
"8",59,7,2012-09-12 11:00:00
"9",60,5,2012-09-12 12:00:00
"10",61,6,2012-09-12 13:00:00
"11",62,1,2012-09-12 14:00:00
"12",63,3,2012-09-12 15:00:00
"13",64,5,2012-09-12 16:00:00
"14",65,1,2012-09-12 17:00:00
"15",66,2,2012-09-12 18:00:00
"16",67,9,2012-09-12 19:00:00
"17",68,8,2012-09-12 20:00:00
"18",69,5,2012-09-12 21:00:00
"19",70,3,2012-09-12 22:00:00
"20",71,9,2012-09-12 23:00:00
"21",74,1,2012-09-13 02:00:00
"22",77,2,2012-09-13 05:00:00
"23",78,1,2012-09-13 06:00:00
"24",80,1,2012-09-13 08:00:00
"25",81,1,2012-09-13 09:00:00
"26",83,1,2012-09-13 11:00:00
"27",84,1,2012-09-13 12:00:00
"28",85,1,2012-09-13 13:00:00
"29",88,4,2012-09-13 16:00:00
"30",89,2,2012-09-13 17:00:00
"31",91,8,2012-09-13 19:00:00
"32",92,3,2012-09-13 20:00:00
"33",94,1,2012-09-13 22:00:00
"34",96,1,2012-09-14 00:00:00
"35",103,2,2012-09-14 07:00:00
"36",104,3,2012-09-14 08:00:00
"37",105,1,2012-09-14 09:00:00
"38",106,1,2012-09-14 10:00:00
"39",107,1,2012-09-14 11:00:00
"40",109,1,2012-09-14 13:00:00
"41",110,4,2012-09-14 14:00:00
"42",113,1,2012-09-14 17:00:00
"43",114,2,2012-09-14 18:00:00
"44",116,2,2012-09-14 20:00:00
"45",118,1,2012-09-14 22:00:00
"46",127,2,2012-09-15 07:00:00
"47",128,1,2012-09-15 08:00:00
"48",130,1,2012-09-15 10:00:00
"49",132,1,2012-09-15 12:00:00
"50",135,1,2012-09-15 15:00:00
"51",136,3,2012-09-15 16:00:00
"52",138,2,2012-09-15 18:00:00
"53",139,1,2012-09-15 19:00:00
"54",140,5,2012-09-15 20:00:00
"55",141,2,2012-09-15 21:00:00
"56",142,5,2012-09-15 22:00:00
"57",143,5,2012-09-15 23:00:00
"58",144,4,2012-09-16 00:00:00
"59",155,2,2012-09-16 11:00:00
"60",156,1,2012-09-16 12:00:00
"61",157,1,2012-09-16 13:00:00
"62",159,1,2012-09-16 15:00:00
"63",160,1,2012-09-16 16:00:00
"64",162,2,2012-09-16 18:00:00
"65",163,2,2012-09-16 19:00:00
"66",164,1,2012-09-16 20:00:00
"67",165,2,2012-09-16 21:00:00
"68",166,2,2012-09-16 22:00:00
