"","series2","Freq","date"
"1",40,1,2012-09-11 16:00:00
"2",41,1,2012-09-11 17:00:00
"3",45,3,2012-09-11 21:00:00
"4",46,3,2012-09-11 22:00:00
"5",54,1,2012-09-12 06:00:00
"6",55,3,2012-09-12 07:00:00
"7",56,2,2012-09-12 08:00:00
"8",57,9,2012-09-12 09:00:00
"9",58,1,2012-09-12 10:00:00
"10",59,1,2012-09-12 11:00:00
"11",60,5,2012-09-12 12:00:00
"12",61,4,2012-09-12 13:00:00
"13",62,3,2012-09-12 14:00:00
"14",63,1,2012-09-12 15:00:00
"15",64,1,2012-09-12 16:00:00
"16",65,1,2012-09-12 17:00:00
"17",66,1,2012-09-12 18:00:00
"18",68,5,2012-09-12 20:00:00
"19",69,3,2012-09-12 21:00:00
"20",71,2,2012-09-12 23:00:00
"21",77,2,2012-09-13 05:00:00
"22",78,2,2012-09-13 06:00:00
"23",81,1,2012-09-13 09:00:00
"24",83,1,2012-09-13 11:00:00
"25",84,1,2012-09-13 12:00:00
"26",86,1,2012-09-13 14:00:00
"27",89,2,2012-09-13 17:00:00
"28",92,1,2012-09-13 20:00:00
"29",96,1,2012-09-14 00:00:00
"30",107,1,2012-09-14 11:00:00
"31",109,1,2012-09-14 13:00:00
"32",111,1,2012-09-14 15:00:00
"33",112,1,2012-09-14 16:00:00
"34",114,2,2012-09-14 18:00:00
"35",117,1,2012-09-14 21:00:00
"36",118,1,2012-09-14 22:00:00
"37",131,1,2012-09-15 11:00:00
"38",132,1,2012-09-15 12:00:00
"39",137,1,2012-09-15 17:00:00
"40",138,1,2012-09-15 18:00:00
"41",140,1,2012-09-15 20:00:00
"42",143,1,2012-09-15 23:00:00
"43",151,1,2012-09-16 07:00:00
"44",155,2,2012-09-16 11:00:00
"45",158,1,2012-09-16 14:00:00
"46",161,1,2012-09-16 17:00:00
"47",165,2,2012-09-16 21:00:00
