"","series2","Freq","date"
"1",40,1,2012-09-11 16:00:00
"2",41,1,2012-09-11 17:00:00
"3",42,12,2012-09-11 18:00:00
"4",43,9,2012-09-11 19:00:00
"5",44,1,2012-09-11 20:00:00
"6",45,17,2012-09-11 21:00:00
"7",46,14,2012-09-11 22:00:00
"8",47,6,2012-09-11 23:00:00
"9",54,7,2012-09-12 06:00:00
"10",55,17,2012-09-12 07:00:00
"11",56,21,2012-09-12 08:00:00
"12",57,39,2012-09-12 09:00:00
"13",58,26,2012-09-12 10:00:00
"14",59,5,2012-09-12 11:00:00
"15",60,35,2012-09-12 12:00:00
"16",61,30,2012-09-12 13:00:00
"17",62,22,2012-09-12 14:00:00
"18",63,18,2012-09-12 15:00:00
"19",64,20,2012-09-12 16:00:00
"20",65,5,2012-09-12 17:00:00
"21",66,11,2012-09-12 18:00:00
"22",67,16,2012-09-12 19:00:00
"23",68,23,2012-09-12 20:00:00
"24",69,28,2012-09-12 21:00:00
"25",70,13,2012-09-12 22:00:00
"26",71,6,2012-09-12 23:00:00
"27",72,2,2012-09-13 00:00:00
"28",73,7,2012-09-13 01:00:00
"29",76,2,2012-09-13 04:00:00
"30",77,4,2012-09-13 05:00:00
"31",78,3,2012-09-13 06:00:00
"32",79,6,2012-09-13 07:00:00
"33",80,8,2012-09-13 08:00:00
"34",81,7,2012-09-13 09:00:00
"35",82,3,2012-09-13 10:00:00
"36",83,9,2012-09-13 11:00:00
"37",84,8,2012-09-13 12:00:00
"38",85,7,2012-09-13 13:00:00
"39",86,4,2012-09-13 14:00:00
"40",87,1,2012-09-13 15:00:00
"41",88,5,2012-09-13 16:00:00
"42",89,8,2012-09-13 17:00:00
"43",91,15,2012-09-13 19:00:00
"44",92,7,2012-09-13 20:00:00
"45",93,10,2012-09-13 21:00:00
"46",94,7,2012-09-13 22:00:00
"47",95,6,2012-09-13 23:00:00
"48",96,4,2012-09-14 00:00:00
"49",98,3,2012-09-14 02:00:00
"50",101,2,2012-09-14 05:00:00
"51",102,4,2012-09-14 06:00:00
"52",104,2,2012-09-14 08:00:00
"53",105,2,2012-09-14 09:00:00
"54",106,1,2012-09-14 10:00:00
"55",107,3,2012-09-14 11:00:00
"56",108,3,2012-09-14 12:00:00
"57",109,7,2012-09-14 13:00:00
"58",110,4,2012-09-14 14:00:00
"59",111,7,2012-09-14 15:00:00
"60",112,8,2012-09-14 16:00:00
"61",113,1,2012-09-14 17:00:00
"62",114,4,2012-09-14 18:00:00
"63",115,2,2012-09-14 19:00:00
"64",116,5,2012-09-14 20:00:00
"65",117,3,2012-09-14 21:00:00
"66",118,2,2012-09-14 22:00:00
"67",119,3,2012-09-14 23:00:00
"68",121,1,2012-09-15 01:00:00
"69",122,2,2012-09-15 02:00:00
"70",123,1,2012-09-15 03:00:00
"71",127,6,2012-09-15 07:00:00
"72",128,3,2012-09-15 08:00:00
"73",129,3,2012-09-15 09:00:00
"74",130,3,2012-09-15 10:00:00
"75",131,4,2012-09-15 11:00:00
"76",132,8,2012-09-15 12:00:00
"77",134,3,2012-09-15 14:00:00
"78",137,1,2012-09-15 17:00:00
"79",138,3,2012-09-15 18:00:00
"80",139,3,2012-09-15 19:00:00
"81",140,2,2012-09-15 20:00:00
"82",142,5,2012-09-15 22:00:00
"83",143,6,2012-09-15 23:00:00
"84",144,3,2012-09-16 00:00:00
"85",152,2,2012-09-16 08:00:00
"86",153,2,2012-09-16 09:00:00
"87",154,4,2012-09-16 10:00:00
"88",155,5,2012-09-16 11:00:00
"89",156,2,2012-09-16 12:00:00
"90",157,1,2012-09-16 13:00:00
"91",158,3,2012-09-16 14:00:00
"92",159,3,2012-09-16 15:00:00
"93",160,2,2012-09-16 16:00:00
"94",161,2,2012-09-16 17:00:00
"95",162,2,2012-09-16 18:00:00
"96",163,2,2012-09-16 19:00:00
"97",164,5,2012-09-16 20:00:00
"98",165,1,2012-09-16 21:00:00
"99",166,1,2012-09-16 22:00:00
