"","fullperiod","counttime","date"
"1",1,142,2012-01-02 00:00:00
"2",2,257,2012-01-03 00:00:00
"3",3,197,2012-01-04 00:00:00
"4",4,131,2012-01-05 00:00:00
"5",5,117,2012-01-06 00:00:00
"6",6,223,2012-01-07 00:00:00
"7",7,172,2012-01-08 00:00:00
"8",8,99,2012-01-09 00:00:00
"9",9,196,2012-01-10 00:00:00
"10",10,196,2012-01-11 00:00:00
"11",11,137,2012-01-12 00:00:00
"12",12,89,2012-01-13 00:00:00
"13",13,81,2012-01-14 00:00:00
"14",14,114,2012-01-15 00:00:00
"15",15,248,2012-01-16 00:00:00
"16",16,157,2012-01-17 00:00:00
"17",17,197,2012-01-18 00:00:00
"18",18,344,2012-01-19 00:00:00
"19",19,221,2012-01-20 00:00:00
"20",20,380,2012-01-21 00:00:00
"21",21,224,2012-01-22 00:00:00
"22",22,405,2012-01-23 00:00:00
"23",23,631,2012-01-24 00:00:00
"24",24,311,2012-01-25 00:00:00
"25",25,381,2012-01-26 00:00:00
"26",26,209,2012-01-27 00:00:00
"27",27,153,2012-01-28 00:00:00
"28",28,229,2012-01-29 00:00:00
"29",29,292,2012-01-30 00:00:00
"30",30,389,2012-01-31 00:00:00
"31",31,350,2012-02-01 00:00:00
"32",32,330,2012-02-02 00:00:00
"33",33,265,2012-02-03 00:00:00
"34",34,226,2012-02-04 00:00:00
"35",35,260,2012-02-05 00:00:00
"36",36,342,2012-02-06 00:00:00
"37",37,443,2012-02-07 00:00:00
"38",38,342,2012-02-08 00:00:00
"39",39,307,2012-02-09 00:00:00
"40",40,448,2012-02-10 00:00:00
"41",41,244,2012-02-11 00:00:00
"42",42,268,2012-02-12 00:00:00
"43",43,372,2012-02-13 00:00:00
"44",44,272,2012-02-14 00:00:00
"45",45,278,2012-02-15 00:00:00
"46",46,488,2012-02-16 00:00:00
"47",47,286,2012-02-17 00:00:00
"48",48,191,2012-02-18 00:00:00
"49",49,280,2012-02-19 00:00:00
"50",50,330,2012-02-20 00:00:00
"51",51,251,2012-02-21 00:00:00
"52",52,560,2012-02-22 00:00:00
"53",53,345,2012-02-23 00:00:00
"54",54,311,2012-02-24 00:00:00
"55",55,189,2012-02-25 00:00:00
"56",56,185,2012-02-26 00:00:00
"57",57,178,2012-02-27 00:00:00
"58",58,292,2012-02-28 00:00:00
"59",59,201,2012-02-29 00:00:00
"60",60,214,2012-03-01 00:00:00
"61",61,229,2012-03-02 00:00:00
"62",62,174,2012-03-03 00:00:00
"63",63,158,2012-03-04 00:00:00
"64",64,228,2012-03-05 00:00:00
"65",65,439,2012-03-06 00:00:00
"66",66,308,2012-03-07 00:00:00
"67",67,251,2012-03-08 00:00:00
"68",68,229,2012-03-09 00:00:00
"69",69,189,2012-03-10 00:00:00
"70",70,160,2012-03-11 00:00:00
"71",71,293,2012-03-12 01:00:00
"72",72,356,2012-03-13 01:00:00
"73",73,281,2012-03-14 01:00:00
"74",74,295,2012-03-15 01:00:00
"75",75,237,2012-03-16 01:00:00
"76",76,121,2012-03-17 01:00:00
