"","fullperiod","counttime","date"
"1",1,164,2012-01-02 00:00:00
"2",2,462,2012-01-03 00:00:00
"3",3,503,2012-01-04 00:00:00
"4",4,335,2012-01-05 00:00:00
"5",5,289,2012-01-06 00:00:00
"6",6,463,2012-01-07 00:00:00
"7",7,305,2012-01-08 00:00:00
"8",8,345,2012-01-09 00:00:00
"9",9,571,2012-01-10 00:00:00
"10",10,441,2012-01-11 00:00:00
"11",11,367,2012-01-12 00:00:00
"12",12,302,2012-01-13 00:00:00
"13",13,231,2012-01-14 00:00:00
"14",14,343,2012-01-15 00:00:00
"15",15,706,2012-01-16 00:00:00
"16",16,414,2012-01-17 00:00:00
"17",17,728,2012-01-18 00:00:00
"18",18,1027,2012-01-19 00:00:00
"19",19,549,2012-01-20 00:00:00
"20",20,885,2012-01-21 00:00:00
"21",21,545,2012-01-22 00:00:00
"22",22,1047,2012-01-23 00:00:00
"23",23,1600,2012-01-24 00:00:00
"24",24,772,2012-01-25 00:00:00
"25",25,1659,2012-01-26 00:00:00
"26",26,953,2012-01-27 00:00:00
"27",27,1037,2012-01-28 00:00:00
"28",28,935,2012-01-29 00:00:00
"29",29,1335,2012-01-30 00:00:00
"30",30,1323,2012-01-31 00:00:00
"31",31,1005,2012-02-01 00:00:00
"32",32,1070,2012-02-02 00:00:00
"33",33,658,2012-02-03 00:00:00
"34",34,827,2012-02-04 00:00:00
"35",35,650,2012-02-05 00:00:00
"36",36,790,2012-02-06 00:00:00
"37",37,1250,2012-02-07 00:00:00
"38",38,922,2012-02-08 00:00:00
"39",39,577,2012-02-09 00:00:00
"40",40,906,2012-02-10 00:00:00
"41",41,786,2012-02-11 00:00:00
"42",42,516,2012-02-12 00:00:00
"43",43,1107,2012-02-13 00:00:00
"44",44,689,2012-02-14 00:00:00
"45",45,823,2012-02-15 00:00:00
"46",46,809,2012-02-16 00:00:00
"47",47,620,2012-02-17 00:00:00
"48",48,474,2012-02-18 00:00:00
"49",49,571,2012-02-19 00:00:00
"50",50,693,2012-02-20 00:00:00
"51",51,823,2012-02-21 00:00:00
"52",52,1174,2012-02-22 00:00:00
"53",53,1096,2012-02-23 00:00:00
"54",54,830,2012-02-24 00:00:00
"55",55,496,2012-02-25 00:00:00
"56",56,428,2012-02-26 00:00:00
"57",57,467,2012-02-27 00:00:00
"58",58,923,2012-02-28 00:00:00
"59",59,568,2012-02-29 00:00:00
"60",60,593,2012-03-01 00:00:00
"61",61,449,2012-03-02 00:00:00
"62",62,496,2012-03-03 00:00:00
"63",63,571,2012-03-04 00:00:00
"64",64,803,2012-03-05 00:00:00
"65",65,1218,2012-03-06 00:00:00
"66",66,946,2012-03-07 00:00:00
"67",67,1016,2012-03-08 00:00:00
"68",68,577,2012-03-09 00:00:00
